Kernel Name,src_gpu,tgt_gpu,Block Size,Grid Size,Threads,Registers Per Thread [register/thread],Static Shared Memory Per Block [byte/block],Dynamic Shared Memory Per Block [byte/block],Shared Memory Per Block [byte/block],Achieved Occupancy,Achieved Active Warps Per SM [warp],Compute (SM) Throughput [%],Memory Throughput [%],L1/TEX Cache Throughput [%],L2 Cache Throughput [%],Memory Throughput [byte/s],Eligible Warps Per Scheduler [warp],Executed Ipc Active [inst/cycle],Warp Cycles Per Executed Instruction [cycle/inst],Theoretical Active Warps per SM [warp],Waves Per SM,Block Limit Registers [block],Block Limit Warps [block],Block Limit SM [block],Block Limit Shared Mem [block],Stall Barrier [inst],Stall Branch Resolving [inst],Stall Dispatch Stall [inst],Stall Drain [inst],Stall LG Throttle [inst],Stall Long Scoreboard [inst],Stall MIO Throttle [inst],Stall Math Pipe Throttle [inst],Stall Membar [inst],Stall Misc [inst],Stall No Instruction [inst],Stall Not Selected [inst],Stall Short Scoreboard [inst],Stall Sleeping [inst],Stall Tex Throttle [inst],Stall Wait [inst],Execution Time,Predicated-On FFMA Operations Per Cycle [inst],Predicated-On FADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On FMUL Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DFMA Operations Per Cycle [inst],Predicated-On DADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DMUL Thread Instructions Executed Per Cycle [inst/cycle],Elapsed Cycles [cycle],SRC GPU Maximum Warps Per Scheduler [warp],SRC Theoretical Active Warps per SM [warp],SRC Theoretical Active Warps Per Scheduler [warp],SRC Shared Memory Configuration Size [byte],SRC Block Limit Warps [block],SRC Peak FP32 / Peak FP64,SRC DRAM BW per SM [byte/s/SM],SRC L2 Size per SM [byte/SM],SRC Peak FP32 / DRAM BW [flop/byte],SRC Peak FP16 Tensor [flop/s],SRC Peak Tensor / Peak FP32,SRC DRAM Latency [ns],SRC CPU-GPU BW [byte/s],TGT GPU Maximum Warps Per Scheduler [warp],TGT Theoretical Active Warps per SM [warp],TGT Theoretical Active Warps Per Scheduler [warp],TGT Shared Memory Configuration Size [byte],TGT Block Limit Warps [block],TGT Peak FP32 / Peak FP64,TGT DRAM BW per SM [byte/s/SM],TGT L2 Size per SM [byte/SM],TGT Peak FP32 / DRAM BW [flop/byte],TGT Peak FP16 Tensor [flop/s],TGT Peak Tensor / Peak FP32,TGT DRAM Latency [ns],TGT CPU-GPU BW [byte/s],TGT peak_fp32,TGT peak_fp64,TGT dram_bw
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,H100,256.0,1954.0,500224.0,36.0,0.0,0.0,1024.0,65.56,41.96,77.52,1.51,0.8,2.67,30799852380.37,4.55,3.26,,48.0,3.02,6.0,8.0,32.0,32.0,0.0,0.48,0.26,0.0,0.0,0.04,0.51,3.09,0.0,0.0,0.23,4.57,0.37,0.0,0.0,2.27,260128.0,6288.25,790.64,778.91,0.0,0.0,0.0,299788.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)",H100,GB200,256.0,250000.0,64000000.0,47.0,0.0,0.0,1024.0,56.71,36.3,71.48,45.9,42.54,58.05,1216759743122.78,2.11,2.87,,40.0,378.79,5.0,8.0,32.0,32.0,0.0,0.74,0.55,0.11,0.0,3.2,0.07,0.8,0.0,0.0,0.15,1.95,0.49,0.0,0.0,3.54,1669280.0,209.64,0.0,0.0,3424.1,279.52,628.92,1802833.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)",GB200,A100,256.0,250000.0,64000000.0,44.0,0.0,0.0,1024.0,57.05,36.51,72.33,39.64,39.76,17.35,1372009850916.93,2.27,2.9,,40.0,328.95,5.0,8.0,32.0,32.0,0.0,0.74,0.8,0.1,0.0,2.55,0.04,0.96,0.0,0.0,0.2,2.13,0.49,0.0,0.0,3.52,1455296.0,238.08,0.0,0.0,3888.64,317.44,714.24,1593412.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,19500000000000.0,9700000000000.0,2039000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,GB200,256.0,1953125.0,500000000.0,36.0,0.0,0.0,1024.0,72.33,46.29,84.75,13.29,3.86,13.27,271017322197.84,5.16,3.39,,48.0,3014.08,6.0,8.0,32.0,32.0,0.0,0.46,0.29,0.0,0.0,0.08,0.44,3.49,0.0,0.0,0.21,5.1,0.36,0.0,0.0,2.21,51596224.0,6663.68,939.97,881.22,0.0,0.0,0.0,59591579.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)",H100,A100,256.0,250000.0,64000000.0,40.0,0.0,0.0,1024.0,70.62,45.19,77.23,39.16,33.22,57.72,1083036357487.11,2.85,3.09,,48.0,315.66,6.0,8.0,32.0,32.0,0.0,0.61,0.61,0.05,0.0,4.66,0.0,1.09,0.0,0.0,0.18,2.68,0.32,0.0,0.0,3.38,3027712.0,269.9,0.0,0.0,3894.32,231.35,347.02,3270076.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,19500000000000.0,9700000000000.0,2039000000000.0
"allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)",GB200,H100,256.0,250000.0,64000000.0,40.0,0.0,0.0,1024.0,71.12,45.52,76.46,33.1,33.17,14.33,1174442920016.72,2.93,3.06,,48.0,274.12,6.0,8.0,32.0,32.0,0.0,0.62,0.83,0.05,0.0,4.14,0.01,1.17,0.0,0.0,0.2,2.82,0.31,0.0,0.0,3.68,2602944.0,310.5,0.0,0.0,4479.99,266.14,399.21,2850119.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,H100,256.0,19532.0,5000192.0,36.0,0.0,0.0,1024.0,73.31,46.92,84.22,2.54,0.84,2.87,51788590107.48,5.22,3.37,,48.0,30.14,6.0,8.0,32.0,32.0,0.0,0.48,0.3,0.0,0.0,0.01,0.54,3.52,0.0,0.0,0.23,5.19,0.36,0.0,0.0,2.27,2378848.0,6832.77,859.1,846.36,0.0,0.0,0.0,2747373.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
boundaryConditionsPhi(double (*)[400][400]),H100,GB200,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,39.75,25.44,66.15,21.14,21.49,4.62,86766817496.23,1.33,2.43,,64.0,236.74,16.0,8.0,32.0,32.0,0.0,0.26,0.46,0.14,0.0,0.0,0.19,0.22,0.0,0.0,0.22,1.18,1.89,0.0,0.0,4.37,212160.0,0.0,0.0,0.0,0.0,0.0,0.0,229113.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
boundaryConditionsPhi(double (*)[400][400]),GB200,A100,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,72.92,46.67,97.88,28.01,28.54,1.13,49194236311.24,1.71,2.28,,64.0,205.59,16.0,8.0,32.0,32.0,0.0,0.21,0.02,0.08,0.0,0.0,7.31,0.05,0.0,0.0,0.2,2.03,4.93,0.0,0.0,4.21,222080.0,0.0,0.0,0.0,0.0,0.0,0.0,243116.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,19500000000000.0,9700000000000.0,2039000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,GB200,256.0,117188.0,30000128.0,36.0,0.0,0.0,1024.0,73.19,46.84,84.56,6.86,2.04,6.99,139966215149.85,5.23,3.38,,48.0,180.85,6.0,8.0,32.0,32.0,0.0,0.48,0.3,0.0,0.0,0.02,0.49,3.53,0.0,0.0,0.22,5.18,0.36,0.0,0.0,2.25,5880032.0,6776.78,892.38,861.46,0.0,0.0,0.0,6791245.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
