Kernel Name,src_gpu,tgt_gpu,Block Size,Grid Size,Threads,Registers Per Thread [register/thread],Static Shared Memory Per Block [byte/block],Dynamic Shared Memory Per Block [byte/block],Shared Memory Per Block [byte/block],Achieved Occupancy,Achieved Active Warps Per SM [warp],Compute (SM) Throughput [%],Memory Throughput [%],L1/TEX Cache Throughput [%],L2 Cache Throughput [%],Memory Throughput [byte/s],Eligible Warps Per Scheduler [warp],Executed Ipc Active [inst/cycle],Warp Cycles Per Executed Instruction [cycle/inst],Theoretical Active Warps per SM [warp],Waves Per SM,Block Limit Registers [block],Block Limit Warps [block],Block Limit SM [block],Block Limit Shared Mem [block],Stall Barrier [inst],Stall Branch Resolving [inst],Stall Dispatch Stall [inst],Stall Drain [inst],Stall LG Throttle [inst],Stall Long Scoreboard [inst],Stall MIO Throttle [inst],Stall Math Pipe Throttle [inst],Stall Membar [inst],Stall Misc [inst],Stall No Instruction [inst],Stall Not Selected [inst],Stall Short Scoreboard [inst],Stall Sleeping [inst],Stall Tex Throttle [inst],Stall Wait [inst],Execution Time,Predicated-On FFMA Operations Per Cycle [inst],Predicated-On FADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On FMUL Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DFMA Operations Per Cycle [inst],Predicated-On DADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DMUL Thread Instructions Executed Per Cycle [inst/cycle],Elapsed Cycles [cycle],SRC GPU Maximum Warps Per Scheduler [warp],SRC Theoretical Active Warps per SM [warp],SRC Theoretical Active Warps Per Scheduler [warp],SRC Shared Memory Configuration Size [byte],SRC Block Limit Warps [block],SRC Peak FP32 / Peak FP64,SRC DRAM BW per SM [byte/s/SM],SRC L2 Size per SM [byte/SM],SRC Peak FP32 / DRAM BW [flop/byte],SRC Peak FP16 Tensor [flop/s],SRC Peak Tensor / Peak FP32,SRC DRAM Latency [ns],SRC CPU-GPU BW [byte/s],TGT GPU Maximum Warps Per Scheduler [warp],TGT Theoretical Active Warps per SM [warp],TGT Theoretical Active Warps Per Scheduler [warp],TGT Shared Memory Configuration Size [byte],TGT Block Limit Warps [block],TGT Peak FP32 / Peak FP64,TGT DRAM BW per SM [byte/s/SM],TGT L2 Size per SM [byte/SM],TGT Peak FP32 / DRAM BW [flop/byte],TGT Peak FP16 Tensor [flop/s],TGT Peak Tensor / Peak FP32,TGT DRAM Latency [ns],TGT CPU-GPU BW [byte/s],TGT peak_fp32,TGT peak_fp64,TGT dram_bw
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,H100,256.0,1954.0,500224.0,36.0,0.0,0.0,1024.0,65.56,41.96,77.52,1.51,0.8,2.67,30799852380.37,4.55,3.26,,48.0,3.02,6.0,8.0,32.0,32.0,0.0,0.48,0.26,0.0,0.0,0.04,0.51,3.09,0.0,0.0,0.23,4.57,0.37,0.0,0.0,2.27,260128.0,6288.25,790.64,778.91,0.0,0.0,0.0,299788.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,GB200,256.0,1953125.0,500000000.0,36.0,0.0,0.0,1024.0,72.33,46.29,84.75,13.29,3.86,13.27,271017322197.84,5.16,3.39,,48.0,3014.08,6.0,8.0,32.0,32.0,0.0,0.46,0.29,0.0,0.0,0.08,0.44,3.49,0.0,0.0,0.21,5.1,0.36,0.0,0.0,2.21,51596224.0,6663.68,939.97,881.22,0.0,0.0,0.0,59591579.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,H100,256.0,19532.0,5000192.0,36.0,0.0,0.0,1024.0,73.31,46.92,84.22,2.54,0.84,2.87,51788590107.48,5.22,3.37,,48.0,30.14,6.0,8.0,32.0,32.0,0.0,0.48,0.3,0.0,0.0,0.01,0.54,3.52,0.0,0.0,0.23,5.19,0.36,0.0,0.0,2.27,2378848.0,6832.77,859.1,846.36,0.0,0.0,0.0,2747373.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,GB200,256.0,117188.0,30000128.0,36.0,0.0,0.0,1024.0,73.19,46.84,84.56,6.86,2.04,6.99,139966215149.85,5.23,3.38,,48.0,180.85,6.0,8.0,32.0,32.0,0.0,0.48,0.3,0.0,0.0,0.02,0.49,3.53,0.0,0.0,0.22,5.18,0.36,0.0,0.0,2.25,5880032.0,6776.78,892.38,861.46,0.0,0.0,0.0,6791245.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,H100,256.0,40.0,10240.0,36.0,0.0,0.0,1024.0,12.24,7.83,15.1,0.14,0.11,0.15,1642311219.81,0.49,1.67,,48.0,0.06,6.0,8.0,32.0,32.0,0.0,0.48,0.03,0.0,0.0,0.04,0.02,0.11,0.0,0.0,0.15,0.16,0.48,0.0,0.0,2.19,104672.0,1230.64,150.95,150.37,0.0,0.0,0.0,120835.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,GB200,256.0,664063.0,170000128.0,36.0,0.0,0.0,1024.0,72.75,46.56,84.69,6.99,2.04,7.04,142587515968.66,5.19,3.39,,48.0,1024.79,6.0,8.0,32.0,32.0,0.0,0.48,0.3,0.0,0.0,0.02,0.49,3.48,0.0,0.0,0.22,5.12,0.36,0.0,0.0,2.25,33265152.0,6787.6,893.8,862.83,0.0,0.0,0.0,38420930.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"void adam<float, float>(T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, int, unsigned long, adamMode_t, float)",A100,H100,256.0,58594.0,15000064.0,36.0,0.0,0.0,1024.0,73.24,46.87,84.46,6.71,2.03,7.02,136889357309.72,5.24,3.38,,48.0,90.42,6.0,8.0,32.0,32.0,0.0,0.48,0.3,0.0,0.0,0.02,0.49,3.54,0.0,0.0,0.22,5.19,0.36,0.0,0.0,2.25,2945120.0,6769.09,891.37,860.48,0.0,0.0,0.0,3401142.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"advCubatureHex3D(int, const double *, const double *, const double *, const double *, int, const double *, double *)",A100,GB200,256.0,5000.0,1280000.0,164.0,10752.0,0.0,11776.0,12.44,7.96,24.59,62.9,63.77,43.67,713378373898.9,0.16,0.47,,8.0,46.3,1.0,8.0,32.0,1.0,1.48,0.11,0.04,0.0,1.6,3.08,4.03,0.58,0.0,0.0,0.03,0.35,2.62,0.0,0.0,2.07,5212960.0,0.0,0.0,0.0,1571.8,0.0,31.9,6020868.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"advCubatureHex3D(int, const double *, const double *, const double *, const double *, int, const double *, double *)",A100,H100,256.0,16.0,4096.0,164.0,10752.0,0.0,11776.0,12.44,7.96,3.8,9.74,67.38,5.57,51202370370.37,0.17,0.49,,8.0,0.15,1.0,8.0,32.0,1.0,1.36,0.11,0.04,0.0,1.46,2.3,4.05,0.58,0.0,0.0,0.06,0.35,2.65,0.0,0.0,2.07,108000.0,0.0,0.0,0.0,242.84,0.0,4.93,124686.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,25378787878.78788,378787.8787878788,20.0,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3350000000000.0
"attention_kernel1(const float *, const float *, float *, float *, int, int)",A100,GB200,256.0,32.0,8192.0,28.0,0.0,0.0,1024.0,12.48,7.99,1.75,28.82,98.08,8.36,140677160380.97,0.03,0.1,,64.0,0.04,8.0,8.0,32.0,32.0,0.0,0.05,0.0,0.01,0.05,73.34,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.11,1925216.0,60.36,0.0,0.0,0.0,0.0,0.0,2223542.0,16.0,64.0,16.0,32768.0,8.0,2.0103092783505154,18879629629.62963,370370.3703703704,9.563511525257478,312000000000000.0,16.0,395.0,64000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,828947.3684210526,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
