Kernel Name,src_gpu,tgt_gpu,Block Size,Grid Size,Threads,Registers Per Thread [register/thread],Static Shared Memory Per Block [byte/block],Dynamic Shared Memory Per Block [byte/block],Shared Memory Per Block [byte/block],Achieved Occupancy,Achieved Active Warps Per SM [warp],Compute (SM) Throughput [%],Memory Throughput [%],L1/TEX Cache Throughput [%],L2 Cache Throughput [%],Memory Throughput [byte/s],Eligible Warps Per Scheduler [warp],Executed Ipc Active [inst/cycle],Warp Cycles Per Executed Instruction [cycle/inst],Theoretical Active Warps per SM [warp],Waves Per SM,Block Limit Registers [block],Block Limit Warps [block],Block Limit SM [block],Block Limit Shared Mem [block],Stall Barrier [inst],Stall Branch Resolving [inst],Stall Dispatch Stall [inst],Stall Drain [inst],Stall LG Throttle [inst],Stall Long Scoreboard [inst],Stall MIO Throttle [inst],Stall Math Pipe Throttle [inst],Stall Membar [inst],Stall Misc [inst],Stall No Instruction [inst],Stall Not Selected [inst],Stall Short Scoreboard [inst],Stall Sleeping [inst],Stall Tex Throttle [inst],Stall Wait [inst],Execution Time,Predicated-On FFMA Operations Per Cycle [inst],Predicated-On FADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On FMUL Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DFMA Operations Per Cycle [inst],Predicated-On DADD Thread Instructions Executed Per Cycle [inst/cycle],Predicated-On DMUL Thread Instructions Executed Per Cycle [inst/cycle],Elapsed Cycles [cycle],SRC GPU Maximum Warps Per Scheduler [warp],SRC Theoretical Active Warps per SM [warp],SRC Theoretical Active Warps Per Scheduler [warp],SRC Shared Memory Configuration Size [byte],SRC Block Limit Warps [block],SRC Peak FP32 / Peak FP64,SRC DRAM BW per SM [byte/s/SM],SRC L2 Size per SM [byte/SM],SRC Peak FP32 / DRAM BW [flop/byte],SRC Peak FP16 Tensor [flop/s],SRC Peak Tensor / Peak FP32,SRC DRAM Latency [ns],SRC CPU-GPU BW [byte/s],TGT GPU Maximum Warps Per Scheduler [warp],TGT Theoretical Active Warps per SM [warp],TGT Theoretical Active Warps Per Scheduler [warp],TGT Shared Memory Configuration Size [byte],TGT Block Limit Warps [block],TGT Peak FP32 / Peak FP64,TGT DRAM BW per SM [byte/s/SM],TGT L2 Size per SM [byte/SM],TGT Peak FP32 / DRAM BW [flop/byte],TGT Peak FP16 Tensor [flop/s],TGT Peak Tensor / Peak FP32,TGT DRAM Latency [ns],TGT CPU-GPU BW [byte/s],TGT peak_fp32,TGT peak_fp64,TGT dram_bw
"allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)",h100,h100,256.0,250000.0,64000000.0,40.0,0.0,0.0,1024.0,70.62,45.19,77.23,39.16,33.22,57.72,1083036357487.11,2.85,3.09,,48.0,315.66,6.0,8.0,32.0,32.0,0.0,0.61,0.61,0.05,0.0,4.66,0.0,1.09,0.0,0.0,0.18,2.68,0.32,0.0,0.0,3.38,3027712.0,269.9,0.0,0.0,3894.32,231.35,347.02,3270076.0,16.0,48.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,48.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3000000000000.0
boundaryConditionsPhi(double (*)[400][400]),h100,h100,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,39.75,25.44,66.15,21.14,21.49,4.62,86766817496.23,1.33,2.43,,64.0,236.74,16.0,8.0,32.0,32.0,0.0,0.26,0.46,0.14,0.0,0.0,0.19,0.22,0.0,0.0,0.22,1.18,1.89,0.0,0.0,4.37,212160.0,0.0,0.0,0.0,0.0,0.0,0.0,229113.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3000000000000.0
"boundaryConditionsU(double (*)[400][400], double)",h100,h100,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,39.8,25.47,66.16,21.15,21.5,4.63,86003621001.81,1.33,2.43,,64.0,236.74,16.0,8.0,32.0,32.0,0.0,0.26,0.46,0.14,0.0,0.0,0.19,0.22,0.0,0.0,0.22,1.19,1.88,0.0,0.0,4.37,212096.0,0.0,0.0,0.0,0.0,4.17,0.0,229045.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3000000000000.0
"calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)",h100,h100,256.0,250000.0,64000000.0,47.0,0.0,0.0,1024.0,56.71,36.3,71.48,45.9,42.54,58.05,1216759743122.78,2.11,2.87,,40.0,378.79,5.0,8.0,32.0,32.0,0.0,0.74,0.55,0.11,0.0,3.2,0.07,0.8,0.0,0.0,0.15,1.95,0.49,0.0,0.0,3.54,1669280.0,209.64,0.0,0.0,3424.1,279.52,628.92,1802833.0,16.0,40.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,40.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3000000000000.0
"swapGrid(double (*)[400][400], double (*)[400][400])",h100,h100,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,78.6,50.3,14.13,40.06,23.53,53.67,1455325662739.32,0.1,0.31,,64.0,236.74,16.0,8.0,32.0,32.0,0.0,0.26,0.13,3.45,0.0,146.69,0.89,0.08,0.0,0.0,0.23,0.27,2.85,0.0,0.0,2.97,1390592.0,0.0,0.0,0.0,0.0,0.0,0.0,1501810.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3000000000000.0
"thermalEquation(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double)",h100,h100,256.0,250000.0,64000000.0,34.0,0.0,0.0,1024.0,68.35,43.74,76.88,51.26,51.4,67.89,1381387228143.14,3.41,3.08,,48.0,315.66,6.0,8.0,32.0,32.0,0.0,0.61,0.99,0.1,0.0,2.47,0.01,1.18,0.0,0.0,0.14,3.42,0.47,0.0,0.0,3.72,1477248.0,237.06,0.0,0.0,3705.69,395.11,394.59,1595557.0,16.0,48.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,48.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,67000000000000.0,34000000000000.0,3000000000000.0
"allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)",h100,gb200,256.0,250000.0,64000000.0,40.0,0.0,0.0,1024.0,70.62,45.19,77.23,39.16,33.22,57.72,1083036357487.11,2.85,3.09,,48.0,315.66,6.0,8.0,32.0,32.0,0.0,0.61,0.61,0.05,0.0,4.66,0.0,1.09,0.0,0.0,0.18,2.68,0.32,0.0,0.0,3.38,3027712.0,269.9,0.0,0.0,3894.32,231.35,347.02,3270076.0,16.0,48.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,48.0,16.0,32768.0,8.0,2.0,52631578947.36842,394736.84210526315,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
boundaryConditionsPhi(double (*)[400][400]),h100,gb200,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,39.75,25.44,66.15,21.14,21.49,4.62,86766817496.23,1.33,2.43,,64.0,236.74,16.0,8.0,32.0,32.0,0.0,0.26,0.46,0.14,0.0,0.0,0.19,0.22,0.0,0.0,0.22,1.18,1.89,0.0,0.0,4.37,212160.0,0.0,0.0,0.0,0.0,0.0,0.0,229113.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,394736.84210526315,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"boundaryConditionsU(double (*)[400][400], double)",h100,gb200,256.0,250000.0,64000000.0,16.0,0.0,0.0,1024.0,39.8,25.47,66.16,21.15,21.5,4.63,86003621001.81,1.33,2.43,,64.0,236.74,16.0,8.0,32.0,32.0,0.0,0.26,0.46,0.14,0.0,0.0,0.19,0.22,0.0,0.0,0.22,1.19,1.88,0.0,0.0,4.37,212096.0,0.0,0.0,0.0,0.0,4.17,0.0,229045.0,16.0,64.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,64.0,16.0,32768.0,8.0,2.0,52631578947.36842,394736.84210526315,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
"calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)",h100,gb200,256.0,250000.0,64000000.0,47.0,0.0,0.0,1024.0,56.71,36.3,71.48,45.9,42.54,58.05,1216759743122.78,2.11,2.87,,40.0,378.79,5.0,8.0,32.0,32.0,0.0,0.74,0.55,0.11,0.0,3.2,0.07,0.8,0.0,0.0,0.15,1.95,0.49,0.0,0.0,3.54,1669280.0,209.64,0.0,0.0,3424.1,279.52,628.92,1802833.0,16.0,40.0,16.0,32768.0,8.0,1.9705882352941178,22727272727.272728,378787.8787878788,22.333333333333332,989000000000000.0,14.761194029850746,370.0,128000000000.0,16.0,40.0,16.0,32768.0,8.0,2.0,52631578947.36842,394736.84210526315,10.0,2250000000000000.0,28.125,440.0,900000000000.0,80000000000000.0,40000000000000.0,8000000000000.0
